cz,pop,parent,child,prop
13000,176597,5,1,0.101
13101,1100767,1,1,0.415
13101,1100767,2,1,0.275
13101,1100767,3,1,0.189
13101,1100767,4,1,0.134
13101,1100767,5,1,0.102
13102,49985,1,1,0.354
13102,49985,2,1,0.267
13102,49985,3,1,0.191
13102,49985,4,1,0.121
13102,49985,5,1,0.097
13103,66605,1,1,0.336
13103,66605,2,1,0.214
13103,66605,3,1,0.128
13103,66605,4,1,0.103
13103,66605,5,1,0.111
13200,177640,1,1,0.33
13200,177640,2,1,0.227
13200,177640,3,1,0.145
13200,177640,4,1,0.106
13200,177640,5,1,0.102
13300,246623,1,1,0.325
13300,246623,2,1,0.206
13300,246623,3,1,0.134
13300,246623,4,1,0.104
13300,246623,5,1,0.079
13400,260393,1,1,0.364
13400,260393,2,1,0.203
13400,260393,3,1,0.116
13400,260393,4,1,0.082
